CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,04/19/2024 03:20:00 PM,24-907555,BURGLARY-NO FORCE,16X,812 CARLSTON AVE,Oakland,CA,POINT (-122.229891961 37.812554006)
STOLEN VEHICLE,03/14/2024 12:01:00 PM,24-012996,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,27X,HIGH ST & BOND ST,Oakland,CA,POINT (-122.212509989 37.774109988)
,05/08/2024 09:59:00 AM,24-022693,GRAND THEFT,2X,700 WEBSTER ST,Oakland,CA,POINT (-122.271692611 37.798585388)
,03/21/2024 02:00:00 PM,24-014309,VANDALISM,13X,5501 HARBORD DR,Oakland,CA,POINT (-122.223250979 37.833016998)
,05/13/2024 08:13:00 AM,24-023503,BATTERY ON TRANSPORTATION PERSONNEL/PASSENGER,27Y,5116 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.207438412 37.768948653)
,04/13/2024 08:17:00 PM,24-018201,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,7201 OUTLOOK AVE,Oakland,CA,POINT (-122.170690998 37.771073979)
STOLEN VEHICLE,03/05/2024 05:00:00 PM,24-011503,VEHICLE THEFT - AUTO,28X,4342 VIRGINIA AV,Oakland,CA,POINT (-122.198990985 37.783841001)
,03/06/2024 09:00:00 PM,24-012157,ATTEMPT VEHICLE THEFT-AUTO,17Y,2500 BLOCK OF 7TH AV,Oakland,CA,POINT (-122.241559895 37.802144464)
DOMESTIC VIOLENCE,04/14/2024 02:25:00 PM,24-018322,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,17X,1640 6TH AV,Oakland,CA,POINT (-122.250405998 37.796551989)
,04/16/2024 01:20:00 AM,24-018590,ASSAULT WITH FIREARM ON PERSON,27X,5500 BANCROFT AV,Oakland,CA,POINT (-122.197267545 37.771678159)
DOMESTIC VIOLENCE,03/03/2024 10:13:00 PM,24-011076,THREAT CRIME:INT:TERRORIZE,04X,641 W GRAND AV,Oakland,CA,POINT (-122.272348982 37.812160015)
,03/18/2024 08:18:00 AM,24-905063,GRAND THEFT,14Y,3241 LAKESHORE AVE,Oakland,CA,POINT (-122.24536596 37.810623989)
FORCIBLE RAPE,03/12/2024 09:00:00 AM,24-014016,RAPE BY FORCE/FEAR/ETC,08X,3815 TELEGRAPH AV,Oakland,CA,POINT (-122.265179046 37.826648298)
,04/30/2024 06:45:00 PM,24-021306,BURGLARY-FORCIBLE ENTRY,23X,555 HIGH ST,Oakland,CA,POINT (-122.222544971 37.766963997)
PETTY THEFT,03/01/2024 11:30:00 AM,24-905133,THEFT,01X,105 5TH ST,Oakland,CA,POINT (-122.267250019 37.794795981)
,05/19/2024 01:45:00 PM,24-024733,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,10Y,4418 WEST ST.,Oakland,CA,POINT (-122.26987498 37.833675983)
ROBBERY,03/18/2024 07:51:00 AM,24-013590,ROBBERY-FIREARM,22X,3450 FRUITVALE AV,Oakland,CA,POINT (-122.21604799 37.800164003)
,04/10/2024 12:00:00 PM,24-019326,VEHICLE THEFT - AUTO,05Y,710 MARITIME ST,Oakland,CA,POINT (-122.312116989 37.809022911)
,03/29/2024 03:51:00 AM,24-015693,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,25X,4860 MOUNTAIN BLVD,Oakland,CA,POINT (-122.177726013 37.788519989)
,04/02/2024 12:00:00 AM,24-906327,GRAND THEFT,08X,3833 TELEGRAPH AVE,Oakland,CA,POINT (-122.26534498 37.827210979)
STOLEN VEHICLE,03/24/2024 09:00:00 PM,24-016178,VEHICLE THEFT - AUTO,24Y,3500 PENNIMAN AV,Oakland,CA,POINT (-122.20653101 37.790085016)
BURG - AUTO,03/08/2024 08:18:00 PM,24-012051,BURGLARY-AUTO,19X,1500 E 12TH ST,Oakland,CA,POINT (-122.245560001 37.78823601)
DOMESTIC VIOLENCE,05/13/2024 11:43:00 PM,24-023697,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22Y,3840 COOLIDGE AV,Oakland,CA,POINT (-122.205739004 37.800892013)
DISORDERLY CONDUCT,03/08/2024 01:32:00 AM,24-011898,DISTURB THE PEACE,27Y,2566 61ST AV,Oakland,CA,POINT (-122.189066127 37.770324657)
BURG - COMMERCIAL,04/01/2024 04:20:00 PM,24-016200,BURGLARY-FORCIBLE ENTRY,14Y,3405 LAKESHORE AV,Oakland,CA,POINT (-122.243091027 37.811386994)
STOLEN VEHICLE,03/13/2024 02:00:00 PM,24-013363,VEHICLE THEFT - AUTO,04X,500 WILLIAM ST,Oakland,CA,POINT (-122.270738986 37.809416995)
,05/17/2024 02:30:00 AM,24-024385,VEHICLE THEFT - AUTO,08X,2600 BLOCK OF HARRISON STREET,Oakland,CA,POINT (-122.260209183 37.814084542)
,05/22/2024 11:59:00 AM,24-025285,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,301 E.18TH ST,Oakland,CA,POINT (-122.252023035 37.799495001)
RECOVERED O/S STOLEN,03/01/2024 07:00:00 PM,24-010739,VEHICLE THEFT - AUTO,06X,954 W MACARTHUR BLVD,Oakland,CA,POINT (-122.276037563 37.828394601)
,05/01/2024 12:00:00 PM,24-021402,VEHICLE THEFT - AUTO,27Y,5825 TRASK ST,Oakland,CA,POINT (-122.193372008 37.770265)
,05/17/2024 03:33:00 AM,24-024323,SC UNEXPLAINED DEATH,07X,3400 BLOCK OF HOLLIS ST,Oakland,CA,POINT (-122.284360564 37.826930854)
BURG - COMMERCIAL,04/05/2024 03:35:00 AM,24-016719,MAL SET/ETC FIRE PROP/ETC - OTHER COMMERICAL,34X,1944 90TH AV,Oakland,CA,POINT (-122.167769988 37.752169016)
,05/02/2024 03:00:00 PM,24-022055,VEHICLE THEFT - AUTO,10Y,4101 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.268594979 37.830858993)
HOMICIDE,04/03/2024 07:43:00 PM,24-016555,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,2159 COURTLAND AV,Oakland,CA,POINT (-122.208486005 37.776993992)
,03/09/2024 03:00:00 PM,24-012447,VEHICLE THEFT - AUTO,33X,9412 D ST,Oakland,CA,POINT (-122.177484027 37.744662016)
,04/08/2024 01:30:00 PM,24-018175,ROBBERY-FIREARM,04X,634 15TH ST,Oakland,CA,POINT (-122.275036975 37.80692099)
,04/26/2024 04:30:00 AM,24-907049,GRAND THEFT,,3201 61ST AVE,Oakland,CA,POINT (-122.183133011 37.775103998)
MISDEMEANOR ASSAULT,03/06/2024 12:28:00 PM,24-011523,BATTERY,20X,1101 29TH AV,Oakland,CA,POINT (-122.23193002 37.777615007)
BURG - AUTO,03/27/2024 12:30:00 PM,24-905925,BURGLARY-AUTO,03Y,1001 BROADWAY,Oakland,CA,POINT (-122.273249031 37.802024995)
NARCOTICS,03/09/2024 08:50:00 PM,24-012228,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,26Y,6503 FENHAM ST,Oakland,CA,POINT (-122.198469966 37.760022985)
,03/13/2024 02:00:00 PM,24-012828,CARJACKING - STRONGARM,25X,3580 MACARTHUR BLVD/664/215 CARJACKING,Oakland,CA,POINT (-122.200021689 37.793185403)
FELONY ASSAULT,04/25/2024 10:00:00 PM,24-020617,ADW WITH FORCE: POSSIBLE GBI,35X,2349 83RD AV,Oakland,CA,POINT (-122.16750797 37.760717006)
,04/14/2024 06:55:00 AM,24-018261,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30Y,2800 BLK OF PARKER AV,Oakland,CA,POINT (-122.166721609 37.766510603)
STOLEN VEHICLE,05/19/2024 11:00:00 AM,24-024850,VEHICLE THEFT - AUTO,22X,2708 ALIDA ST,Oakland,CA,POINT (-122.202154986 37.805559015)
,03/29/2024 09:00:00 PM,24-015809,ATTEMPTED MURDER:FIRST DEGREE,26X,1220 47TH AVE,Oakland,CA,POINT (-122.212193346 37.769631954)
BURG - COMMERCIAL,03/07/2024 04:35:00 AM,24-011737,BURGLARY-FORCIBLE ENTRY,16Y,4180 PARK BLVD,Oakland,CA,POINT (-122.222813024 37.806892995)
WEAPONS,05/01/2024 10:03:00 PM,24-021494,CARRY CONCEALED WEAPON IN VEHICLE,23X,1991 FRUITVALE AV,Oakland,CA,POINT (-122.222854276 37.783729766)
,04/05/2024 08:00:00 PM,24-905977,BURGLARY-AUTO,,14TH ST/HARRISON ST,Oakland,CA,POINT (-122.273480175 37.793287632)
BURG - COMMERCIAL,04/12/2024 11:11:00 PM,24-018078,BURGLARY-FORCIBLE ENTRY,19X,17TH & MARITIME,Oakland,CA,POINT (-122.305568644 37.817604292)
,04/22/2024 11:18:00 AM,24-019792,VEHICLE THEFT - AUTO,28X,2808 MONTICELLO AV,Oakland,CA,POINT (-122.197020986 37.779902009)
OTHER,02/29/2024 01:09:00 PM,24-010487,DELIVER/ETC DRUG PARAPHERNALIA,32X,10151 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168630977 37.741305985)
,05/09/2024 04:20:00 PM,24-022925,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",16Y,IFO 4616 PARK BLVD,Oakland,CA,POINT (-122.217524965 37.809215997)
,03/29/2024 06:10:00 AM,24-015708,VEHICLE THEFT - AUTO,33X,1357 91ST AV,Oakland,CA,POINT (-122.174728979 37.749105011)
,04/09/2024 03:35:00 PM,24-017656,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,600 S ELMHURST AVE,Oakland,CA,POINT (-122.186603746 37.737391564)
,03/05/2024 07:55:00 AM,24-905663,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,16X,653 PALOMA AVE,Oakland,CA,POINT (-122.23355502 37.810603999)
STOLEN VEHICLE,04/21/2024 10:30:00 PM,24-019828,VEHICLE THEFT - AUTO,30Y,7833 MICHIGAN AV,Oakland,CA,POINT (-122.163102022 37.768620009)
BURG - AUTO,02/25/2024 12:30:00 PM,24-903646,BURGLARY-AUTO,04X,1440 HARRISON ST,Oakland,CA,POINT (-122.267072609 37.803635461)
,04/15/2024 12:00:00 AM,24-018384,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,13Y,IFO 7245 BUCKINGHAM BLVD,Oakland,CA,POINT (-122.220542031 37.860769982)
,04/28/2024 01:50:00 AM,24-020820,ASSAULT AND BATTERY,08X,2701 TELEGRAPH AV,Oakland,CA,POINT (-122.268232965 37.816445012)
FELONY ASSAULT,03/18/2024 03:27:00 AM,24-013568,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18X,2035 17TH AV,Oakland,CA,POINT (-122.238896974 37.792464009)
STOLEN VEHICLE,03/27/2024 10:00:00 AM,24-016038,VEHICLE THEFT - AUTO,03X,125 12TH ST,Oakland,CA,POINT (-122.264314006 37.799634015)
,04/20/2024 04:17:00 AM,24-019430,GRAND THEFT,08X,243 30TH ST,Oakland,CA,POINT (-122.260921012 37.818196997)
STOLEN VEHICLE,03/01/2024 08:00:00 PM,24-011056,VEHICLE THEFT - AUTO,24X,3524 FOOTHILL BLVD,Oakland,CA,POINT (-122.218917533 37.781828127)
,04/17/2024 10:00:00 PM,24-019057,EXHIBIT FIREARM,31Y,9925 HESKET RD,Oakland,CA,POINT (-122.188753999 37.729464996)
MISDEMEANOR ASSAULT,03/07/2024 07:20:00 PM,24-011855,BATTERY,05X,1715 BRUSH ST,Oakland,CA,POINT (-122.277236973 37.809536982)
,04/27/2024 01:00:00 AM,24-021263,BURGLARY-FORCIBLE ENTRY,22X,4315 LINCOLN AV,Oakland,CA,POINT (-122.205362992 37.808673981)
,05/11/2024 10:07:00 PM,24-023299,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,03Y,800 CLAY ST,Oakland,CA,POINT (-122.276072913 37.801156015)
,04/23/2024 03:00:00 PM,24-907759,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,POINT (-122.265045998 37.812118986)
WEAPONS,02/26/2024 04:13:00 PM,24-010049,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,20X,2301 FOOTHILL BLVD,Oakland,CA,POINT (-122.234048965 37.785002984)
STOLEN VEHICLE,05/19/2024 02:12:00 PM,24-024973,VEHICLE THEFT - AUTO,20X,2331 E 16TH ST,Oakland,CA,POINT (-122.233706804 37.784552693)
,03/19/2024 08:54:00 PM,24-013753,EXHIBIT FIREARM,19X,100TH BLOCK OF E.10TH,Oakland,CA,POINT (-122.162705637 37.744442099)
