CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,04/02/2024 04:45:00 AM,24-906157,BURGLARY-AUTO,27X,5454 FOOTHILL BOULEVARD,Oakland,CA,POINT (-122.197132968 37.772823995)
,05/04/2024 08:00:00 PM,24-022011,VEHICLE THEFT - AUTO,20X,2619 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.232296102 37.781168896)
VANDALISM,03/26/2024 09:15:00 PM,24-906392,VANDALISM,12Y,COLBY ST & CLAREMONT AV,Oakland,CA,POINT (-122.256016006 37.844793991)
,04/04/2024 01:43:00 PM,24-906949,THEFT,12X,4183 OPAL ST,Oakland,CA,POINT (-122.258412979 37.830668012)
FELONY ASSAULT,04/25/2024 10:00:00 PM,24-020617,VEHICLE THEFT - AUTO,35X,2349 83RD AV,Oakland,CA,POINT (-122.16750797 37.760717006)
,04/27/2024 09:00:00 PM,24-020857,SC UNEXPLAINED DEATH,31Z,10558 TOPANGA DR,Oakland,CA,POINT (-122.180644005 37.728325016)
,04/15/2024 06:29:00 PM,24-018538,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,134 16TH ST,Oakland,CA,POINT (-122.255232273 37.799592831)
STOLEN VEHICLE,03/01/2024 10:30:00 PM,24-011048,VEHICLE THEFT - AUTO,14X,300 VERNON ST,Oakland,CA,POINT (-122.256881018 37.814539009)
STOLEN VEHICLE,02/26/2024 12:00:00 AM,24-010021,VEHICLE THEFT - AUTO,17Y,917 E 22ND ST,Oakland,CA,POINT (-122.242929005 37.797614018)
,04/30/2024 07:00:00 PM,24-021330,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,13Y,4900 GRIZZLY PEAK BLVD,Oakland,CA,POINT (-122.221824946 37.864230517)
,03/21/2024 05:00:00 PM,24-014779,VANDALISM:DAMAGE PROPERTY,26X,1024 50TH AV,Oakland,CA,POINT (-122.211121024 37.766961985)
THREATS,02/28/2024 10:30:00 AM,24-010371,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,17Y,2430 8TH AV,Oakland,CA,POINT (-122.24119898 37.800372)
FORCIBLE RAPE,03/14/2024 07:57:00 AM,24-013074,RAPE OF DRUGGED VICTIM,35Y,9777 GOLF LINKS RD,Oakland,CA,POINT (-122.147459966 37.750499005)
,05/14/2024 08:57:00 AM,24-023738,VEHICLE THEFT - AUTO,35Y,80 MONTWOOD WY,Oakland,CA,POINT (-122.13616904 37.747063012)
,03/26/2024 03:41:00 PM,24-015166,VEHICLE THEFT - AUTO,25X,3708 GREEN ACRE RD,Oakland,CA,POINT (-122.190703965 37.786739002)
,03/09/2024 01:24:00 PM,24-012171,VEHICLE THEFT - AUTO,23X,3900 BLOCK OF E 8TH ST,Oakland,CA,POINT (-122.254460238 37.790820779)
KIDNAPPING,03/17/2024 12:00:00 AM,24-013477,KIDNAPPING,29X,5908 MONADNOCK WY,Oakland,CA,POINT (-122.18282397 37.776919979)
,05/22/2024 12:00:00 PM,24-025324,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,21X,2425 INYO AV,Oakland,CA,POINT (-122.228427456 37.790576512)
OTHER,05/07/2024 01:48:00 AM,24-022601,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,22X,2542 MACARTHUR BLVD,Oakland,CA,POINT (-122.21190096 37.799535989)
,04/17/2024 02:37:00 AM,24-018873,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,809 28TH ST,Oakland,CA,POINT (-122.274265014 37.818206628)
,04/12/2024 10:57:00 AM,24-017980,BATTERY,O,699 BELLEVUE AV,Oakland,CA,POINT (-122.259487327 37.809767448)
,03/13/2024 12:34:00 AM,24-012724,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,900 106TH AV,Oakland,CA,POINT (-122.173736981 37.734954012)
,04/23/2024 04:30:00 PM,24-020059,VANDALISM:DAMAGE PROPERTY,25X,4745 GERANIUM PL,Oakland,CA,POINT (-122.179263002 37.795090982)
,03/05/2024 08:25:00 AM,24-904431,GRAND THEFT:DOG,18Y,1929 E 29TH ST,Oakland,CA,POINT (-122.230101005 37.796887014)
,04/04/2024 11:35:00 PM,24-019174,DUMP WASTE ON PUBLIC/PRIVATE ROAD/PROPERTY,02Y,1448 3RD ST (CHERRY ART CENTER),Oakland,CA,POINT (-122.295666012 37.802791017)
FORCIBLE RAPE,04/08/2024 01:30:00 AM,24-017166,ATTEMPTED RAPE,34X,2023 83RD AV,Oakland,CA,POINT (-122.17134202 37.75877098)
,03/29/2024 08:00:00 AM,24-015788,VEHICLE THEFT - AUTO,22X,4315 LINCOLN AV,Oakland,CA,POINT (-122.205362992 37.808673981)
,03/10/2024 03:15:00 PM,24-012593,VEHICLE THEFT - AUTO,33X,85TH AV & E ST,Oakland,CA,POINT (-122.183689988 37.750279986)
DOMESTIC VIOLENCE,03/17/2024 01:40:00 PM,24-013493,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,1407 MILLER AV,Oakland,CA,POINT (-122.234790199 37.782926943)
HOMICIDE,03/23/2024 06:01:00 PM,24-014658,SC UNEXPLAINED DEATH,30X,1787 CHURCH ST,Oakland,CA,POINT (-122.18674997 37.763768983)
,05/09/2024 09:50:00 PM,24-907477,VANDALISM,,TELEGRAPH AVE,Oakland,CA,POINT (-122.261462977 37.843326577)
STOLEN VEHICLE,05/10/2024 09:25:00 AM,24-023019,PROB VIOL: REAREST/REVOKE,33X,1242 95TH AV,Oakland,CA,POINT (-122.174419017 37.745116985)
PETTY THEFT,02/29/2024 01:00:00 PM,24-010735,THEFT,77X,3700 RICHMOND BLVD,Oakland,CA,POINT (-122.255732312 37.822429542)
MISDEMEANOR ASSAULT,02/23/2024 09:40:00 PM,24-009626,BATTERY,24Y,2805 38TH AV,Oakland,CA,POINT (-122.205617506 37.786392127)
,05/12/2024 10:19:00 PM,24-023456,BATTERY,29X,5515 FOOTHILL BLVD,Oakland,CA,POINT (-122.195434728 37.772435518)
,04/10/2024 03:47:00 PM,24-017687,RECEIVE/ETC KNOWN STOLEN PROPERTY,31Y,736 NEVADA ST,Oakland,CA,POINT (-122.182447036 37.738013993)
,04/07/2024 12:51:00 PM,24-017066,BATTERY W/SERIOUS BODILY INJURY,35X,2336 84TH AVE,Oakland,CA,POINT (-122.166541034 37.75952401)
,04/26/2024 06:00:00 PM,24-907008,BURGLARY-AUTO,04X,1520 LAKESIDE DRIVE,Oakland,CA,POINT (-122.26148897 37.803049012)
ROBBERY,03/19/2024 12:00:00 AM,24-014677,CARJACKING WITH FIREARM,18X,1932 E 17TH ST,Oakland,CA,POINT (-122.237735997 37.78884902)
,05/02/2024 07:00:00 PM,24-021728,VEHICLE THEFT - AUTO,10Y,862 55TH ST,Oakland,CA,POINT (-122.272416038 37.839686017)
,04/26/2024 04:18:00 AM,24-020467,MURDER,19X,1528 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.244500025 37.788827018)
,05/08/2024 07:00:00 PM,24-907352,BURGLARY-AUTO,01X,71 BROADWAY,Oakland,CA,POINT (-122.277059246 37.795109825)
STOLEN VEHICLE,03/21/2024 08:00:00 PM,24-014394,VEHICLE THEFT - AUTO,27Y,1734 65TH AV,Oakland,CA,POINT (-122.191663022 37.764467992)
PETTY THEFT,03/29/2024 12:00:00 PM,24-016057,THEFT,20X,1200 23RD AV,Oakland,CA,POINT (-122.236598581 37.782621889)
,03/27/2024 11:00:00 AM,24-905629,BURGLARY-AUTO,32Y,2302 103RD AVE,Oakland,CA,POINT (-122.156441008 37.743884007)
,05/21/2024 10:00:00 PM,24-025229,ROBBERY-KNIFE OR CUTTING INSTRUMENT,20X,1508 27TH AV,Oakland,CA,POINT (-122.230251963 37.781542012)
,04/15/2024 03:30:00 PM,24-018811,VANDALISM,35X,2740 ALVINGROOM COURT,Oakland,CA,POINT (-122.160704905 37.760755972)
RECOVERED O/S STOLEN,03/08/2024 05:31:00 PM,24-012041,VEHICLE THEFT - AUTO,32X,102ND AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168366863 37.741522993)
STOLEN VEHICLE,02/25/2024 07:00:00 PM,24-010026,VEHICLE THEFT - AUTO,03X,1302 BROADWAY,Oakland,CA,POINT (-122.271204014 37.803678996)
,05/15/2024 09:22:00 AM,24-023927,BATTERY,31Z,918 107TH AVENUE,Oakland,CA,POINT (-122.172901976 37.734596984)
,04/20/2024 03:00:00 AM,24-019420,BURGLARY-AUTO,10X,5975 MARSHALL ST,Oakland,CA,POINT (-122.285100958 37.843591984)
STOLEN VEHICLE,04/05/2024 08:00:00 PM,24-016912,VEHICLE THEFT - AUTO,04X,1801 HARRISON ST,Oakland,CA,POINT (-122.266414008 37.805710015)
,03/15/2024 11:18:00 AM,24-013182,VIOLATION OF PROBATION-MISD,24X,2024 42ND AV,Oakland,CA,POINT (-122.210776025 37.776962015)
,05/10/2024 03:00:00 AM,24-907672,BURGLARY-AUTO,,6069 OLD QUARRY LOOP,Oakland,CA,POINT (-122.165773 37.778861019)
DOMESTIC VIOLENCE,02/29/2024 07:30:00 PM,24-010975,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,32Y,2431 106TH AV,Oakland,CA,POINT (-122.153018006 37.743037016)
,05/10/2024 04:00:00 PM,24-907596,VANDALISM,,JEFFERSON ST,Oakland,CA,POINT (-122.274439178 37.80627196)
,04/29/2024 01:15:00 PM,24-021069,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,1525 105TH AVE,Oakland,CA,POINT (-122.165175479 37.740104678)
RECOVERED VEHICLE - OAKLAND STOLEN,04/22/2024 07:47:00 PM,24-019872,POSS STOLEN VEH/VES/ETC,16X,3250 LAKESHORE AV,Oakland,CA,POINT (-122.244249993 37.809737016)
,04/13/2024 07:00:00 PM,24-018240,THEFT,34X,88TH AV & BANCROFT AV,Oakland,CA,POINT (-122.166680005 37.755080009)
WEAPONS,05/12/2024 03:16:00 PM,24-023410,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,33X,8400 G ST,Oakland,CA,POINT (-122.186160281 37.750051227)
,04/21/2024 10:22:00 PM,24-907559,BURGLARY-NO FORCE,15X,478 MERRITT AVE,Oakland,CA,POINT (-122.248396018 37.806624983)
,03/18/2024 04:00:00 PM,24-013913,BURGLARY-AUTO,19X,122  E12TH ST,Oakland,CA,POINT (-122.257448976 37.797949001)
,04/12/2024 10:46:00 PM,24-018075,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,31Y,555 98TH AV,Oakland,CA,POINT (-122.184033982 37.735828998)
,04/05/2024 08:00:00 PM,24-017043,VEHICLE THEFT - AUTO,25X,3700 39TH AVE,Oakland,CA,POINT (-122.195187026 37.790330019)
MISDEMEANOR ASSAULT,03/22/2024 02:27:00 PM,24-014487,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,77X,500 CASTRO ST,Oakland,CA,POINT (-122.280841199 37.800593702)
,03/14/2024 07:40:00 PM,24-904651,BURGLARY-AUTO,01X,444 OAK ST,Oakland,CA,POINT (-122.26688448 37.794534263)
,04/21/2024 07:30:00 PM,24-907745,VANDALISM,12X,4919 CLARKE ST,Oakland,CA,POINT (-122.261316973 37.836174)
,03/24/2024 11:30:00 AM,24-905395,GRAND THEFT,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198848995 37.733280984)
ROBBERY,03/29/2024 11:30:00 PM,24-016717,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,1800 SAN PABLO AV,Oakland,CA,POINT (-122.27218696 37.808049991)
MISDEMEANOR ASSAULT,05/21/2024 10:52:00 AM,24-025076,VEHICLE THEFT - AUTO,32X,1300 102ND AV,Oakland,CA,POINT (-122.170031007 37.740204017)
VANDALISM,03/05/2024 03:13:00 AM,24-011278,VANDALISM,32X,1328 107TH AV,Oakland,CA,POINT (-122.167112009 37.737302998)
,04/25/2024 07:27:00 AM,24-020296,VEHICLE THEFT - AUTO,24X,2049 39TH,Oakland,CA,POINT (-122.213848998 37.780186994)
,03/20/2024 06:15:00 PM,24-906081,VANDALISM,04X,1547 LAKESIDE DRIVE,Oakland,CA,POINT (-122.262245017 37.803015987)
PETTY THEFT,03/01/2024 05:40:00 PM,24-905144,THEFT,14X,290 GRAND AV,Oakland,CA,POINT (-122.257532041 37.809383007)
DOMESTIC VIOLENCE,04/11/2024 11:38:00 PM,24-017908,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30Y,67TH AV & BANCROFT AV,Oakland,CA,POINT (-122.180560018 37.769240019)
,05/09/2024 07:00:00 PM,24-022942,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,26Y,1310 76TH AV,Oakland,CA,POINT (-122.185387994 37.757500996)
ROBBERY,03/05/2024 06:22:00 PM,24-011444,CARJACKING WITH FIREARM,19X,18TH AV & FOOTHILL BLVD,Oakland,CA,POINT (-122.240500013 37.788729997)
HOMICIDE,03/13/2024 10:52:00 AM,24-012787,SC UNEXPLAINED DEATH,31Y,555 98TH AV,Oakland,CA,POINT (-122.184033982 37.735828998)
STOLEN VEHICLE,05/14/2024 11:35:00 AM,24-023766,POSS STOLEN VEH/VES/ETC,31X,8000 COLLINS DR,Oakland,CA,POINT (-122.198383911 37.745791909)
BURG - COMMERCIAL,03/04/2024 02:50:00 AM,24-011095,BURGLARY-FORCIBLE ENTRY,13X,5891 BROADWAY TER,Oakland,CA,POINT (-122.236661018 37.840843013)
,03/08/2024 06:00:00 PM,24-904649,BURGLARY-AUTO,,SAN PABLO AVE/18TH ST,Oakland,CA,POINT (-122.274742124 37.81489994)
,03/27/2024 07:00:00 PM,24-015546,VEHICLE THEFT - AUTO,17Y,1411 31 ST ST,Oakland,CA,POINT (-122.231684012 37.798288007)
STOLEN VEHICLE,02/29/2024 09:00:00 PM,24-010754,VEHICLE THEFT - AUTO,14X,305 LENOX AV,Oakland,CA,POINT (-122.257935965 37.811171998)
,04/07/2024 02:35:00 PM,24-017083,POSSESS NARCOTIC CONTROLLED SUBSTANCE,34X,9530 BIRCH ST,Oakland,CA,POINT (-122.16625102 37.748751001)
,03/14/2024 12:30:00 AM,24-905915,THEFT BY USE OF ACCESS CARD,23X,1027 41ST AVE,Oakland,CA,POINT (-122.218545965 37.772169997)
STOLEN VEHICLE,03/28/2024 07:00:00 PM,24-016127,VEHICLE THEFT - AUTO,04X,447 17TH ST,Oakland,CA,POINT (-122.269542801 37.806520107)
,05/05/2024 07:00:00 PM,24-022355,VEHICLE THEFT - AUTO,15X,2811 PARK BLVD.,Oakland,CA,POINT (-122.239438026 37.802815995)
,04/23/2024 03:30:00 PM,24-020063,VEHICLE THEFT - AUTO,19X,1800 EMBARCADERO,Oakland,CA,POINT (-122.243409115 37.784461535)
,05/13/2024 06:50:00 AM,24-023492,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,28X,IFO 2700 KINGSLAND AVE,Oakland,CA,POINT (-122.19577904 37.776747983)
MISDEMEANOR ASSAULT,04/20/2024 12:00:00 PM,24-019482,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27Y,2015 64TH AV,Oakland,CA,POINT (-122.192488975 37.765426001)
FORCIBLE RAPE,03/27/2024 07:00:00 PM,24-015670,SODOMY,25X,4474 MACARTHUR BLVD,Oakland,CA,POINT (-122.192391996 37.785865985)
,04/10/2024 05:23:00 AM,24-906502,BURGLARY-AUTO,13Y,1045 MOUNTAIN BOULEVARD,Oakland,CA,POINT (-122.219822026 37.840113997)
,03/12/2024 06:48:00 PM,24-012697,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,25X,4844 MACARTHUR BLVD,Oakland,CA,POINT (-122.188278996 37.785225985)
FELONY ASSAULT,03/02/2024 05:43:00 PM,24-010879,CARRY CONCEALED WEAPON ON PERSON,12X,4013 TELEGRAPH AV,Oakland,CA,POINT (-122.264649031 37.829449995)
,05/12/2024 02:02:00 AM,24-023328,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,22Y,3003 MACARTHUR BLVD,Oakland,CA,POINT (-122.204872028 37.797289916)
RECOVERED O/S STOLEN,02/27/2024 05:45:00 PM,24-010226,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,33X,9617 D ST,Oakland,CA,POINT (-122.176869969 37.743198996)
STOLEN VEHICLE,05/20/2024 09:00:00 PM,24-025055,VEHICLE THEFT - AUTO,18Y,3104 14TH AV,Oakland,CA,POINT (-122.228889988 37.798980017)
,04/17/2024 07:57:00 AM,24-018903,VANDALISM,34X,1838 92ND AV,Oakland,CA,POINT (-122.168524024 37.750932014)
,04/27/2024 04:55:00 AM,24-907127,BURGLARY-AUTO,19X,1254 E 12TH ST,Oakland,CA,POINT (-122.247960997 37.789534995)
,04/10/2024 06:00:00 PM,24-907254,VANDALISM,12X,4880 WEBSTER ST,Oakland,CA,POINT (-122.259686022 37.835237993)
,03/30/2024 09:45:00 PM,24-906655,THEFT,31X,7000 COLISEUM WAY,Oakland,CA,POINT (-122.201306989 37.751257987)
,04/09/2024 03:13:00 PM,24-017545,BURGLARY-FORCIBLE ENTRY,22X,4073 FRUITVALE AVE,Oakland,CA,POINT (-122.210008997 37.807832983)
MISCELLANEOUS TRAFFIC CRIME,03/24/2024 10:16:00 PM,24-014829,DUI ALCOHOL/DRUGS,30Y,73RD AV & GARFIELD AV,Oakland,CA,POINT (-122.175670016 37.766939983)
,04/30/2024 10:30:00 PM,24-021474,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,1263 60TH AV,Oakland,CA,POINT (-122.201187966 37.763286982)
,02/29/2024 04:18:00 AM,24-010429,ROBBERY-KNIFE OR CUTTING INSTRUMENT,14X,350 GRAND AVE.,Oakland,CA,POINT (-122.255644017 37.809234982)
,04/15/2024 03:41:00 AM,24-018400,BURGLARY-FORCIBLE ENTRY,35Y,4400 KELLER AV,Oakland,CA,POINT (-122.145167013 37.772490982)
,03/17/2024 02:00:00 AM,24-013427,BATTERY,34X,85TH AVE & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.177289986 37.753650014)
,05/16/2024 03:30:00 PM,24-907795,BURGLARY-AUTO,01X,98 BROADWAY,Oakland,CA,POINT (-122.276723072 37.795213013)
,03/08/2024 07:30:00 AM,24-904880,BURGLARY-AUTO,,COLLEGE COLLEGE-OCEANVIEW AVE,Oakland,CA,POINT (-122.27248 37.804828)
BURG - AUTO,03/03/2024 11:21:00 AM,24-011004,BURGLARY-AUTO,19X,14TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.246210017 37.789430012)
PETTY THEFT,03/01/2024 02:40:00 PM,24-010706,THEFT,19X,900 E 10TH ST,Oakland,CA,POINT (-122.253248129 37.790849397)
,05/08/2024 09:40:00 AM,24-022674,VEHICLE THEFT - AUTO,27X,2362 HIGH ST,Oakland,CA,POINT (-122.205845035 37.780364984)
,03/20/2024 08:15:00 PM,24-014217,VANDALISM-$400+,19X,1711 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.243082981 37.787281982)
,04/09/2024 07:00:00 AM,24-017571,VEHICLE THEFT - AUTO,30X,6827 ARTHUR ST,Oakland,CA,POINT (-122.183117001 37.766112982)
,04/27/2024 09:40:00 PM,24-021956,VANDALISM,31Y,8100 EDES AV,Oakland,CA,POINT (-122.195486439 37.741710178)
,03/25/2024 11:00:00 AM,24-906429,VANDALISM,04X,1800 SAN PABLO AVE,Oakland,CA,POINT (-122.27218696 37.808049991)
STOLEN VEHICLE,02/24/2024 11:50:00 AM,24-009729,VEHICLE THEFT - AUTO,11X,5947 SHATTUCK AV,Oakland,CA,POINT (-122.265427961 37.845107013)
MISDEMEANOR ASSAULT,03/11/2024 02:48:00 AM,24-012398,BATTERY,08X,2805 TELEGRAPH AV,Oakland,CA,POINT (-122.267664098 37.817434789)
,05/02/2024 11:20:00 AM,24-021574,VANDALISM,02Y,926 CENTER ST,Oakland,CA,POINT (-122.293778994 37.807662998)
,04/15/2024 06:25:00 PM,24-907639,GRAND THEFT,20X,1090 29TH AVE,Oakland,CA,POINT (-122.231390476 37.776898326)
,04/24/2024 12:26:00 AM,24-020094,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,8135 BANCROFT AVE,Oakland,CA,POINT (-122.171046977 37.759969005)
DOMESTIC VIOLENCE,03/30/2024 01:27:00 PM,24-015889,INFLICT CRPL INJ SP/COHAB,04X,1951 TELEGRAPH AV,Oakland,CA,POINT (-122.270733035 37.809429987)
,04/18/2024 01:00:00 AM,24-019085,VEHICLE THEFT - AUTO,06X,698 33RD ST,Oakland,CA,POINT (-122.271648004 37.823239005)
,03/14/2024 08:30:00 PM,24-905657,BURGLARY-AUTO,31Y,191 98TH AVE,Oakland,CA,POINT (-122.193521961 37.729987985)
,03/12/2024 04:30:00 PM,24-905222,BURGLARY-AUTO,08X,398 W MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.261302975 37.825511004)
STOLEN VEHICLE,03/12/2024 04:30:00 PM,24-012768,VEHICLE THEFT - AUTO,09X,4102 TERRACE ST,Oakland,CA,POINT (-122.255134201 37.828228351)
,04/06/2024 04:07:00 PM,24-016970,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,98TH AV&ELMVIEW DR,Oakland,CA,POINT (-122.160045981 37.749387984)
,04/24/2024 06:00:00 AM,24-020451,VEHICLE THEFT - AUTO,24Y,3329 MAYBELLE WY,Oakland,CA,POINT (-122.198904987 37.787199001)
,05/12/2024 02:06:00 AM,24-023369,VEHICLE THEFT - AUTO,14X,398 EUCLID AV,Oakland,CA,POINT (-122.25119901 37.811109008)
WEAPONS,04/06/2024 10:50:00 PM,24-017012,CARRY/EXPOSE UNLOADED HANDGUN IN PUBLIC/VEHICLE,19X,2138 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.237961973 37.78493002)
MISDEMEANOR ASSAULT,03/04/2024 04:39:00 PM,24-011257,BATTERY,27Y,2010 57TH AV,Oakland,CA,POINT (-122.196478007 37.769005996)
,04/03/2024 05:25:00 PM,24-906744,ATTEMPT VEHICLE THEFT-AUTO,06X,3001 MARTIN LUTHER KING JR WAY,Oakland,CA,POINT (-122.271198985 37.819903008)
,04/16/2024 09:00:00 AM,24-018783,VEHICLE THEFT - AUTO,01X,3RD &JEFFERSON,Oakland,CA,POINT (-122.279477959 37.798172002)
,05/09/2024 06:30:00 PM,24-023065,VEHICLE THEFT - AUTO,06X,711 32ND ST,Oakland,CA,POINT (-122.272229037 37.821611994)
,03/22/2024 10:45:00 PM,24-906172,VANDALISM,,19TH,Oakland,CA,POINT (-122.267671037 37.807252618)
,03/29/2024 03:30:00 PM,24-907057,ATTEMPT VEHICLE THEFT-AUTO,09X,3600 BROADWAY,Oakland,CA,POINT (-122.258236959 37.823493983)
NARCOTICS,02/26/2024 11:49:00 PM,24-010088,VIOLATION PAROLE:FELONY,34X,85TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.177188984 37.753293993)
OTHER,02/27/2024 02:29:00 PM,24-010610,POSSESS/ETC BURGLARY TOOLS,30Y,7200 BANCROFT AV,Oakland,CA,POINT (-122.17608098 37.768218013)
STOLEN VEHICLE,04/05/2024 10:30:00 PM,24-016887,VEHICLE THEFT - AUTO,01X,200 2ND ST,Oakland,CA,POINT (-122.270723983 37.794105982)
,03/15/2024 05:15:00 PM,24-013240,THEFT,15X,247 E18TH ST (LUCKY'S),Oakland,CA,POINT (-122.253320973 37.79936198)
,04/25/2024 12:05:00 PM,24-906708,BURGLARY-AUTO,,5TH ST,Oakland,CA,POINT (-122.293801133 37.803734237)
,04/07/2024 11:55:00 PM,24-907055,VANDALISM,13Y,6111 DONCASTER PLACE,Oakland,CA,POINT (-122.211189001 37.839873018)
,04/19/2024 08:30:00 PM,24-906842,BURGLARY-AUTO,12X,4801 SHATTUCK AVE,Oakland,CA,POINT (-122.264078978 37.835370008)
,03/16/2024 10:25:00 AM,24-013337,ATTEMPTED ROBBERY-STRONG-ARM,03X,345 9TH ST,Oakland,CA,POINT (-122.270696993 37.799607989)
,04/27/2024 10:19:00 AM,24-020878,VEHICLE THEFT - AUTO,17X,1843 8TH AVE.,Oakland,CA,POINT (-122.247231017 37.796856001)
,03/26/2024 09:00:00 AM,24-015099,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,14X,374 BELLEVUE AVE,Oakland,CA,POINT (-122.252783022 37.811960987)
,03/11/2024 09:28:00 PM,24-012535,THREAT CRIME:INT:TERRORIZE,06X,MARTIN LUTHER KING JR WY&SYCAMORE ST,Oakland,CA,POINT (-122.271970037 37.815649988)
,03/30/2024 04:25:00 AM,24-906000,BURGLARY-AUTO,16Y,1305 EVERETT AVE,Oakland,CA,POINT (-122.218969 37.808519)
,03/02/2024 07:10:00 AM,24-904907,THEFT BY USE OF ACCESS CARD,,E 20TH,Oakland,CA,POINT (-122.245406186 37.797159045)
,04/24/2024 02:30:00 PM,24-020189,FIGHT/CHALLENGE IN PUBLIC PLACE,03X,350 BLK OF 12TH ST,Oakland,CA,POINT (-122.269679957 37.802083744)
,04/16/2024 07:12:00 PM,24-018826,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,32Y,9800 MACARTHUR BLVD,Oakland,CA,POINT (-122.158439002 37.749630012)
,03/01/2024 09:40:00 AM,24-904604,BURGLARY-AUTO,12Y,6606 TELEGRAPH AVE,Oakland,CA,POINT (-122.259867993 37.852215999)
,04/17/2024 05:45:00 PM,24-019891,BATTERY,32X,9919 MACARTHUR BLVD,Oakland,CA,POINT (-122.157010977 37.746589015)
,04/24/2024 12:09:00 PM,24-020161,POSS STOLEN VEH/VES/ETC,31Z,10300 KNIGHT ST,Oakland,CA,POINT (-122.181245237 37.729577935)
,04/20/2024 09:00:00 PM,24-906513,BURGLARY-AUTO,12X,4870 TELEGRAPH AVE,Oakland,CA,POINT (-122.262619189 37.835707398)
,04/04/2024 01:09:00 PM,24-906856,ATTEMPT VEHICLE THEFT-AUTO,13Z,2096 MOUNTAIN BOULEVARD,Oakland,CA,POINT (-122.209537993 37.825344679)
MISDEMEANOR ASSAULT,05/07/2024 09:19:00 PM,24-022583,BATTERY,05Y,1700 WOOD ST,Oakland,CA,POINT (-122.296181509 37.815239949)
,03/31/2024 08:32:00 AM,24-015987,VANDALISM,22X,3957 COOLIDGE AVE,Oakland,CA,POINT (-122.204243002 37.803187984)
MISDEMEANOR ASSAULT,03/21/2024 11:00:00 PM,24-014367,BATTERY,02Y,8TH ST & PINE ST,Oakland,CA,POINT (-122.303279965 37.808700007)
,05/13/2024 04:35:00 PM,24-023650,VANDALISM $400 OR MORE,23X,34T H AV&INTERNATIONAL BLVD,Oakland,CA,POINT (-122.223641995 37.776492)
,03/10/2024 01:30:00 PM,24-905707,THEFT,08X,2350 BROADWAY,Oakland,CA,POINT (-122.265696015 37.812887384)
,04/01/2024 01:45:00 PM,24-016234,TRESPASS:OCCUPY PROPERTY W/O CONSENT,35X,9123 LAWLOR ST,Oakland,CA,POINT (-122.159222039 37.755244001)
STOLEN VEHICLE,02/24/2024 04:45:00 PM,24-011583,VEHICLE THEFT - AUTO,33X,8000 SAN LEANDRO ST,Oakland,CA,POINT (-122.192399957 37.749883698)
,04/13/2024 11:20:00 PM,24-018219,ASSAULT WITH FIREARM ON PERSON,24Y,2943 ABBEY ST,Oakland,CA,POINT (-122.205809311 37.788639477)
,04/12/2024 05:43:00 PM,24-018054,VEHICLE THEFT - AUTO,32Y,9864 ELMAR AV,Oakland,CA,POINT (-122.158315034 37.747793998)
,04/26/2024 02:50:00 AM,24-907165,BURGLARY-AUTO,25X,3800 REDDING ST,Oakland,CA,POINT (-122.199406979 37.791287986)
